"","Order","Family","Genus","Species_reported","Growth_form","Distribution","Microhabitat","Dispersal_period","Dispersal_syndrome","Embryoless","Viable","Dry_mass","Water_content","Dormancy","Species_acceptedLCVP"
"61","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta harleyi","Shrub","Restricted","Xeric","LD","Autochory",NA,6.67,1.55,9.5,"NC","Stachytarpheta_harleyi"
"62","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta martiana","Shrub","Widespread","Xeric","LD","Autochory",NA,14.62,11.4,10.9,"D","Stachytarpheta_martiana"
"63","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta mexiae","Shrub","Widespread","Mesic/Xeric",NA,"Autochory",NA,14.84,1.7,14.9,"D","Stachytarpheta_mexiae"
"64","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta reticulata","Shrub","Widespread","Mesic/Xeric","LD","Autochory",NA,68.17,2.95,11,"ND","Stachytarpheta_reticulata"
"65","Lamiales","Verbenaceae","Stachytarpheta","Stachytarpheta sellowiana","Shrub","Restricted","Xeric","LR","Autochory",NA,66.45,3.2,10.1,"D","Stachytarpheta_sellowiana"
"66","Poales","Eriocaulaceae","Syngonanthus","Syngonanthus verticillatus","Herb","Widespread","Xeric","ER","Anemochory",NA,NA,NA,NA,"ND","Syngonanthus_verticillatus"
"67","Pandanales","Velloziaceae","Barbacenia","Barbacenia flava",NA,"Restricted","Xeric","LR","Autochory",NA,NA,1.21,NA,"ND","Barbacenia_flava"
"68","Pandanales","Velloziaceae","Barbacenia","Barbacenia markgrafii",NA,"Restricted","Xeric","LR","Autochory",NA,NA,0.18,NA,"ND","Barbacenia_markgrafii"
"69","Pandanales","Velloziaceae","Barbacenia","Barbacenia purpurea","Herb","Restricted","Xeric","LR","Autochory",NA,NA,0.2,NA,"ND","Barbacenia_purpurea"
"70","Pandanales","Velloziaceae","Barbacenia","Barbacenia williamsii","Herb","Restricted","Xeric","LR","Autochory",NA,NA,0.13,NA,"ND","Barbacenia_williamsii"
"71","Pandanales","Velloziaceae","Vellozia","Vellozia alata","Shrub","Restricted","Xeric","LR","Autochory",NA,NA,3.76,NA,"ND","Vellozia_alata"
"72","Pandanales","Velloziaceae","Vellozia","Vellozia compacta","Shrub","Restricted","Xeric","LR","Autochory",NA,NA,0.2,NA,"ND","Vellozia_compacta"
"73","Pandanales","Velloziaceae","Vellozia","Vellozia glochidea","Shrub","Widespread","Xeric","LR","Autochory",NA,NA,1.24,NA,"ND","Vellozia_glochidea"
"74","Pandanales","Velloziaceae","Vellozia","Vellozia plicata","Shrub","Widespread","Xeric","LR","Autochory",NA,NA,0.15,NA,"ND","Nanuza_plicata"
"75","Myrtales","Melastomataceae","Pleroma","Tibouchina heteromalla","Shrub","Widespread","Xeric",NA,"Autochory",NA,NA,NA,10,"ND","Pleroma_heteromallum"
"76","Poales","Eriocaulaceae","Comanthera","Comanthera mucugensis","Herb","Restricted","Xeric","LD","Anemochory",NA,NA,NA,NA,"ND","Comanthera_mucugensis"
"77","Rosales","Urticaceae","Cecropia","Cecropia pachystachya","Tree","Widespread","Mesic","LD","Zoochory",NA,NA,NA,NA,"ND","Cecropia_pachystachya"
"78","Caryophyllales","Cactaceae","Arthrocereus","Arthrocereus glaziovii","Succulent","Restricted","Xeric","LR","Zoochory",NA,NA,0.47,23.7,"ND","Echinopsis_glaziovii"
"79","Caryophyllales","Cactaceae","Arthrocereus","Arthrocereus melanurus subsp. magnus","Succulent","Restricted","Xeric","LR","Zoochory",NA,NA,0.65,14.1,"ND","Arthrocereus_melanurus"
"80","Caryophyllales","Cactaceae","Arthrocereus","Arthrocereus melanurus subsp. melanurus","Succulent","Restricted","Xeric","LR","Zoochory",NA,NA,0.52,17.1,"ND","Arthrocereus_melanurus"
"81","Caryophyllales","Cactaceae","Arthrocereus","Arthrocereus melanurus subsp. odorus","Succulent","Restricted","Xeric","LR","Zoochory",NA,NA,0.94,16.6,"ND","Arthrocereus_melanurus"
"82","Poales","Eriocaulaceae","Comanthera","Comanthera brasiliana","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,NA,"ND","Comanthera_brasiliana"
"83","Poales","Eriocaulaceae","Comanthera","Comanthera brunnea","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,NA,"ND","Comanthera_brunnea"
"84","Poales","Eriocaulaceae","Comanthera","Comanthera linearis","Herb","Widespread","Xeric","ED","Anemochory",NA,NA,NA,NA,"ND","Comanthera_linearis"
"85","Poales","Eriocaulaceae","Comanthera","Comanthera magnifica","Herb","Restricted","Xeric","ER","Anemochory",NA,NA,NA,NA,"ND","Comanthera_magnifica"
"86","Poales","Eriocaulaceae","Comanthera","Comanthera suberosa","Herb","Restricted","Xeric","ED","Anemochory",NA,NA,NA,NA,"ND","Comanthera_suberosa"
"87","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. latistipula","Shrub","Widespread","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_desvauxii"
"88","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. graminea","Shrub","Widespread","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_desvauxii"
"89","Fabales","Fabaceae","Chamaecrista","Chamaecrista blanchetii","Shrub","Widespread","Mesic/Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_blanchetii"
"90","Fabales","Fabaceae","Chamaecrista","Chamaecrista chapadae","Shrub","Restricted","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_chapadae"
"91","Fabales","Fabaceae","Chamaecrista","Chamaecrista confertiformis",NA,"Restricted","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_confertiformis"
"92","Fabales","Fabaceae","Chamaecrista","Chamaecrista glaucofilix","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_glaucofilix"
"93","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. latistipula","Shrub","Widespread","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_desvauxii"
"94","Fabales","Fabaceae","Chamaecrista","Chamaecrista desvauxii var. graminea","Shrub","Widespread","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_desvauxii"
"95","Fabales","Fabaceae","Chamaecrista","Chamaecrista rotundifolia var. grandiflora","Shrub","Widespread","Mesic",NA,"Autochory",NA,NA,NA,NA,"D","Chamaecrista_rotundifolia"
"96","Fabales","Fabaceae","Mimosa","Mimosa calodendron","Shrub","Restricted","Xeric",NA,"Autochory",NA,NA,NA,NA,"D","Mimosa_calodendron"
"97","Apiales","Apiaceae","Eryngium","Eryngium horridum","Herb","Widespread","Xeric","LR","Autochory",6.8,33.4,NA,NA,"ND","Eryngium_horridum"
"98","Asterales","Asteraceae","Heterocondylus","Heterocondylus pumilus","Shrub","Widespread","Xeric","LD","Anemochory",47,47.3,NA,NA,"ND","Heterocondylus_pumilus"
"99","Asterales","Asteraceae","Lepidaploa","Lepidaploa rufogrisea","Shrub","Restricted","Xeric","ED","Anemochory",51.3,47.85,NA,NA,"ND","Lepidaploa_rufogrisea"
"100","Asterales","Asteraceae","Mikania","Mikania itambana","Shrub","Restricted","Xeric","LD","Anemochory",11.35,71.63,NA,NA,"ND","Mikania_itambana"
