ID,Species_reported,Species_accepted,Temperature,GermSeeds,nSeeds,Order,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP
37,Vellozia epidendroides,Vellozia epidendroides,30/20,36,40,Pandanales,Shrub,Restricted,Mesic/Xeric,0.58,ND,Vellozia_epidendroides
37,Vellozia epidendroides,Vellozia epidendroides,30/20,30,40,Pandanales,Shrub,Restricted,Mesic/Xeric,0.58,ND,Vellozia_epidendroides
37,Vellozia epidendroides,Vellozia epidendroides,30/20,22,40,Pandanales,Shrub,Restricted,Mesic/Xeric,0.58,ND,Vellozia_epidendroides
37,Vellozia resinosa,Vellozia resinosa,25,35,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25,37,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25,39,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25,38,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25,33,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25/15,10,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25/15,16,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25/15,13,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25/15,20,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,25/15,15,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,30/20,37,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,30/20,36,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,30/20,38,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,30/20,38,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia resinosa,Vellozia resinosa,30/20,38,40,Pandanales,Shrub,Restricted,Xeric,0.56,ND,Vellozia_resinosa
37,Vellozia variabilis,Vellozia variabilis,25,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25,20,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25/15,18,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25/15,17,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
37,Vellozia variabilis,Vellozia variabilis,25/15,18,20,Pandanales,Shrub,Widespread,Xeric,0.22,ND,Vellozia_alutacea
