ID,Species_reported,Species_accepted,Temperature,GermSeeds,nSeeds,Growth_form,Distribution,Microhabitat,Dry_mass,Dormancy,Species_acceptedLCVP
4,Stachytarpheta reticulata,Stachytarpheta reticulata,20,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,20,15,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,20,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,20,10,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,15,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,12,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,17,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
4,Stachytarpheta reticulata,Stachytarpheta reticulata,25,14,25,Shrub,Widespread,Mesic/Xeric,2.95,ND,Stachytarpheta_reticulata
14,Mimosa calodendron,Mimosa calodendron,20,25,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,20,25,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,20,25,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,20,25,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,24,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
14,Mimosa calodendron,Mimosa calodendron,25,23,25,Shrub,Restricted,Xeric,7.76,D,Mimosa_calodendron
16,Tillandsia gardneri,Tillandsia gardneri,20,24,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,23,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,24,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,25,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,23,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,7,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,6,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,7,25,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Vriesea bituminosa,Vriesea bituminosa,20,15,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,25,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,25,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,25,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,24,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,15,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,23,25,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea friburgensis,Vriesea friburgensis,20,24,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,20,24,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,20,24,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,20,16,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,24,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,25,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,7,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Vriesea friburgensis,Vriesea friburgensis,25,7,25,Herb,Widespread,Mesic,0.98,ND,Vriesea_friburgensis
16,Tillandsia gardneri,Tillandsia gardneri,20,17,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,15,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,20,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,20,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,20,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,17,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,17,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Tillandsia gardneri,Tillandsia gardneri,25,18,20,Herb,Widespread,Mesic/Xeric,0.669,ND,Tillandsia_gardneri
16,Vriesea bituminosa,Vriesea bituminosa,20,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,16,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,15,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,20,16,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,15,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
16,Vriesea bituminosa,Vriesea bituminosa,25,14,20,Herb,Widespread,Mesic/Xeric,0.98,ND,Vriesea_bituminosa
