"Species_reported","Species_acceptedLCVP"
"Lychnophora ericoides","Lychnophora_ericoides"
"Echinolaena inflexa","Echinolaena_inflexa"
"Homolepis longispicula","Homolepis_longispicula"
"Vellozia caruncularis","Vellozia_caruncularis"
"Vellozia epidendroides","Vellozia_epidendroides"
"Vellozia resinosa","Vellozia_resinosa"
"Vellozia variabilis","Vellozia_alutacea"
"Xyris pilosa","Xyris_pilosa"
"Andropogon bicornis","Andropogon_bicornis"
"Andropogon leucostachyus","Andropogon_leucostachyus"
"Apochloa euprepes","Panicum_euprepes"
"Cenchrus brownii","Cenchrus_brownii"
"Setaria parviflora","Setaria_parviflora"
"Axonopus laxiflorus","Axonopus_laxiflorus"
"Sporobolus metallicolus","Sporobolus_metallicola"
"Baccharis reticularia","Baccharis_reticularia"
"Chromolaena squalida","Chromolaena_squalida"
"Dasyphyllum sprengelianum","Dasyphyllum_sprengelianum"
"Eremanthus incanus","Eremanthus_incanus"
"Bulbostylis fimbriata","Bulbostylis_fimbriata"
"Senna reniformis","Senna_reniformis"
"Diplusodon microphyllus","Diplusodon_microphyllus"
"Miconia ligustroides","Miconia_ligustroides"
"Pleroma heteromallum","Tibouchina_heteromalla"
"Pleroma semidecandrum","Tibouchina_semidecandra"
"Trembleya parviflora","Trembleya_parviflora"
"Myrcia splendens","Myrcia_splendens"
"Herbertia zebrina","Herbertia_zebrina"
"Cambessedesia hilariana","Cambessedesia_hilariana"
"Baccharis retusa","Baccharis_retusa"
"Tibouchina multiflora","Tibouchina_heteromalla"
"Vellozia gigantea","Vellozia_gigantea"
"Vellozia glandulifera","Vellozia_glandulifera"
"Vellozia leptopetala","Vellozia_declinans"
"Xyris bialata","Xyris_bialata"
"Xyris peregrina","Xyris_pterygoblephara"
"Comanthera elegans","Comanthera_elegans"
"Syngonanthus anthemidiflorus","Syngonanthus_anthemiflorus"
"Vellozia alutacea","Vellozia_alutacea"
"Xyris aurea","Xyris_aurea"
"Xyris blanchetiana","Xyris_blanchetiana"
"Xyris coutensis","Xyris_coutensis"
"Xyris jolyi","Xyris_jolyi"
"Xyris laxifolia","Xyris_laxifolia"
"Xyris spinulosa","Xyris_spinulosa"
"Chamaecrista cathartica var. paucijuga","Chamaecrista_cathartica"
"Chamaecrista dentata","Chamaecrista_dentata"
"Chamaecrista desvauxii var. malacophylla","Chamaecrista_desvauxii"
"Chamaecrista desvauxii var. mollissima","Chamaecrista_desvauxii"
"Chamaecrista choriophylla var. latifolia","Chamaecrista_latifolia"
"Chamaecrista mucronata","Chamaecrista_mucronata"
"Chamaecrista cipoana","Chamaecrista_cipoana"
"Chamaecrista ochnacea var. purpurascens","Chamaecrista_ochnacea"
"Chamaecrista ramosa var. parvifoliola","Chamaecrista_ramosa"
"Chamaecrista rotundifolia","Chamaecrista_rotundifolia"
"Chamaecrista semaphora","Chamaecrista_semaphora"
"Chamaecrista venulosa","Chamaecrista_venulosa"
"Melocactus ernestii subsp. ernestii","Melocactus_ernestii"
"Paepalanthus chiquitensis","Paepalanthus_chiquitensis"
"Pitcairnia encholirioides","Pitcairnia_encholirioides"
"Paepalanthus geniculatus","Actinocephalus_geniculatus"
"Paepalanthus incanus","Actinocephalus_incanus"
"Paepalanthus chlorocephalus","Paepalanthus_chlorocephalus"
"Paepalanthus senaeanus","Paepalanthus_senaeanus"
"Lessingianthus linearifolius","Lessingianthus_linearifolius"
"Richterago arenaria","Richterago_arenaria"
"Bulbostylis emmerichiae","Bulbostylis_emmerichiae"
"Bulbostylis paradoxa","Bulbostylis_paradoxa"
"Lagenocarpus alboniger","Lagenocarpus_alboniger"
"Lagenocarpus tenuifolius","Lagenocarpus_rigidus"
"Rhynchospora ciliolata","Rhynchospora_ciliolata"
"Rhynchospora consanguinea","Rhynchospora_consanguinea"
"Rhynchospora riedeliana","Rhynchospora_riedeliana"
"Aristida torta","Aristida_torta"
"Paspalum pectinatum","Paspalum_pectinatum"
"Xyris obtusiuscula","Xyris_obtusiuscula"
"Dyckia excelsa","Dyckia_excelsa"
"Tibouchina hatschbachii","Tibouchina_hatschbachii"
"Pleroma marumbiense","Tibouchina_marumbiensis"
"Aechmea nudicaulis","Aechmea_nudicaulis"
"Dyckia saxatilis","Dyckia_saxatilis"
"Cryptanthus schwackeanus","Cryptanthus_schwackeanus"
"Neoregelia bahiana","Neoregelia_bahiana"
"Tillandsia stricta","Tillandsia_stricta"
"Vriesea crassa","Vriesea_crassa"
"Vriesea minarum","Vriesea_minarum"
"Lychnophora pinaster","Lychnophora_ericoides"
"Miconia ferruginata","Miconia_ferruginata"
"Tibouchina papyrus","Tibouchina_papyrifera"
"Collaea cipoensis","Collaea_cipoensis"
"Mimosa foliolosa","Mimosa_foliolosa"
"Mimosa maguirei","Mimosa_maguirei"
"Lavoisiera cordata","Lavoisiera_cordata"
"Microlicia tetrasticha","Microlicia_tetrasticha"
"Trembleya laniflora","Trembleya_laniflora"
"Jacaranda caroba","Jacaranda_caroba"
"Callisthene major var. pilosa","Callisthene_major"
"Syngonanthus nitens","Syngonanthus_nitens"
"Syngonanthus venustus","Comanthera_bisulcata"
"Syngonanthus elegans","Comanthera_elegans"
"Syngonanthus elegantulus","Comanthera_elegantula"
"Syngonanthus aciphyllus","Comanthera_aciphylla"
"Syngonanthus bisulcatus","Comanthera_bisulcata"
"Syngonanthus vernonioides","Comanthera_centauroides"
"Syngonanthus caulescens","Syngonanthus_caulescens"
"Syngonanthus gracilis","Syngonanthus_gracilis"
"Xyris asperula","Xyris_asperula"
"Xyris subsetigera","Xyris_subsetigera"
"Xyris seubertii","Xyris_seubertii"
"Alcantarea imperialis","Alcantarea_imperialis"
"Pitcairnia flammea","Pitcairnia_flammea"
"Tapirira obtusa","Tapirira_obtusa"
"Ficus luschnathiana","Ficus_luschnathiana"
"Chomelia obtusa","Chomelia_obtusa"
"Smilax sp.","NA_NA"
"Lippia corymbosa","Lippia_corymbosa"
"Lippia diamantinensis","Lippia_diamantinensis"
"Lippia filifolia","Lippia_filifolia"
"Lippia florida","Lippia_florida"
"Lippia hermannioides","Lippia_hermannioides"
"Lippia lupulina","Lippia_lupulina"
"Lippia glandulosa","Lippia_origanoides"
"Lippia sidoides","Lippia_origanoides"
"Lippia rosella","Lippia_rosella"
"Lippia rotundifolia","Lippia_rotundifolia"
"Bauhinia pulchella","Bauhinia_pulchella"
"Dioclea apurensis","Dioclea_apurensis"
"Mimosa acutistipula var. ferrea","Mimosa_acutistipula"
"Mimosa camporum","Mimosa_camporum"
"Mimosa pudica","Mimosa_pudica"
