ID,Order,Family,Genus,Species_reported,Authority_reported,Species_accepted,Authority_accepted,Latitude,Longitude,Location,Outcrop,Growth_form,Distribution,Microhabitat,Dispersal_period,Dispersal_syndrome,Seed_number,Embryoless,Nonviable,Nondormant,Dormant,Viable,Length,Width,Thickness,Dry_mass,Water_content,Dormancy,Dormancy_class,Dessication_tolerance,Notes
2,Poales,Bromeliaceae,Vriesea,Vriesea bituminosa,Wawra,Vriesea bituminosa,Wawra,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Anemochory,NA,NA,NA,88.7,11.2,100,NA,NA,NA,0.98,NA,ND,ND,NA,NA
2,Poales,Bromeliaceae,Vriesea,Vriesea itatiaiae,Wawra,Vriesea itatiaiae,Wawra,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Anemochory,NA,NA,NA,93.7,0,93.8,NA,NA,NA,0.99,NA,ND,ND,NA,NA
2,Celastrales,Celastraceae,Maytenus,Maytenus boaria,Molina,Maytenus boaria,Molina,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Tree,Widespread,Xeric,NA,Zoochory,NA,NA,NA,3.8,68.7,72.5,NA,NA,NA,14.9,NA,D,NA,NA,NA
2,Ericales,Clethraceae,Clethra,Clethra scabra var. laevigata,(Meisn.) Sleumer,Clethra scabra var. laevigata,(Meisn.) Sleumer,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Autochory,NA,NA,NA,78.7,1.3,80,NA,NA,NA,0.29,NA,ND,ND,NA,NA
2,Poales,Cyperaceae,Carex,Carex brasiliensis,A.St.-Hil.,Carex brasiliensis,A.St.-Hil.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Mesic/Xeric,NA,Autochory,NA,NA,NA,1.2,93.7,95,NA,NA,NA,0.48,NA,D,NA,NA,NA
2,Ericales,Ericaceae,Agarista,Agarista hispidula,(DC.) J.D. Hook. ex Nied.,Agarista hispidula,(DC.) J.D. Hook. ex Nied.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Restricted,Xeric,NA,Autochory,NA,NA,NA,75,0,75,NA,NA,NA,0.1,NA,ND,ND,NA,NA
2,Ericales,Ericaceae,Gaultheria,Gaultheria serrata,(Vell.) Sleumer ex Kin.-Gouv.,Gaultheria serrata,(Vell.) Sleumer ex Kin.-Gouv.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Restricted,Xeric,NA,Zoochory,NA,NA,NA,75,0,75,NA,NA,NA,0.04,NA,ND,ND,NA,NA
2,Poales,Eriocaulaceae,Eriocaulon,Eriocaulon majusculum,Ruhland,Eriocaulon majusculum,Ruhland,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Mesic,ER,Autochory,NA,NA,NA,32.5,37.5,70,NA,NA,NA,0.17,NA,D,NA,NA,NA
2,Poales,Eriocaulaceae,Paepalanthus,Paepalanthus itatiaiensis,Ruhland,Paepalanthus itatiaiensis,Ruhland,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,ER,Anemochory,NA,NA,NA,0,70,70,NA,NA,NA,0.17,NA,D,NA,NA,NA
2,Escalloniales,Escalloniaceae,Escallonia,Escallonia bifida,Link & Otto,Escallonia bifida,Link & Otto,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ER,Anemochory,NA,NA,NA,17.5,52.5,70,NA,NA,NA,0.005,NA,D,NA,NA,NA
2,Fabales,Fabaceae,Lupinus,Lupinus gibertianus,C.P.Sm.,Lupinus gibertianus,C.P.Sm.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Autochory,NA,NA,NA,25,55,80,NA,NA,NA,15.9,NA,D,NA,NA,NA
2,Fabales,Fabaceae,Senna,Senna itatiaiae,H.S.Irwin & Barneby,Senna itatiaiae,H.S.Irwin & Barneby,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ED,Autochory,NA,NA,NA,25,51.2,76.2,NA,NA,NA,34.2,NA,D,NA,NA,NA
2,Asparagales,Iridaceae,Gelasine,Gelasine coerulea,(Vell.) Ravenna,Gelasine coerulea,(Vell.) Ravenna,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Autochory,NA,NA,NA,81.3,0,81.3,NA,NA,NA,2.55,NA,ND,ND,NA,NA
2,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium marginatum,Klatt,Sisyrinchium marginatum,Klatt,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Autochory,NA,NA,NA,13.7,68.8,82.5,NA,NA,NA,1.61,NA,D,NA,NA,NA
2,Asparagales,Iridaceae,Sisyrinchium,Sisyrinchium wettsteinii,Hand.-Mazz.,Sisyrinchium wettsteinii,Hand.-Mazz.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Mesic/Xeric,NA,Autochory,NA,NA,NA,41.3,45,86.3,NA,NA,NA,3.65,NA,D,NA,NA,NA
2,Lamiales,Lamiaceae,Lepechinia,Lepechinia speciosa,(A.St.-Hil. ex Benth.) Epling,Lepechinia speciosa,(A.St.-Hil. ex Benth.) Epling,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Restricted,Xeric,ED,NA,NA,NA,NA,7.5,82.5,90,NA,NA,NA,3.98,NA,D,NA,NA,NA
2,Myrtales,Melastomataceae,Leandra,Leandra quinquedentata,(DC.) Cogn.,Leandra quinquedentata,(DC.) Cogn.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Zoochory,NA,NA,NA,0,86.2,86.2,NA,NA,NA,0.25,NA,D,NA,NA,NA
2,Myrtales,Melastomataceae,Pleroma,Pleroma echinatum,Gardner,Pleroma echinatum,Gardner,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,LD,Autochory,NA,NA,NA,75,11.3,86.3,NA,NA,NA,0.02,NA,ND,ND,NA,NA
2,Myrtales,Melastomataceae,Pleroma,Pleroma foveolatum,(Naudin) Triana,Pleroma foveolatum,(Naudin) Triana,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,LR,Autochory,NA,NA,NA,47.5,22.5,70,NA,NA,NA,0.04,NA,D,NA,NA,NA
2,Myrtales,Melastomataceae,Pleroma,Pleroma hospitum,(Schrank et Mart. ex DC.) Triana,Pleroma hospitum,(Schrank et Mart. ex DC.) Triana,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Autochory,NA,NA,NA,47.5,17.5,65,NA,NA,NA,0.04,NA,ND,ND,NA,NA
2,Myrtales,Melastomataceae,Pleroma,Tibouchina itatiaiae,(Wawra) P.J.F.Guim. & Michelang.,Pleroma itatiaiae,(Wawra) P.J.F.Guim. & Michelang.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Autochory,NA,NA,NA,12.5,67.5,80,NA,NA,NA,0.04,NA,D,NA,NA,NA
2,Lamiales,Orobanchaceae,Esterhazya,Esterhazya eitenorum,Barringer,Esterhazya eitenorum,Barringer,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Autochory,NA,NA,NA,75,1.3,76.3,NA,NA,NA,0.11,NA,ND,ND,NA,NA
2,Lamiales,Plantaginaceae,Plantago,Plantago australis,Lam.,Plantago australis,Lam.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,ED,Autochory,NA,NA,NA,86.2,0.1,86.3,NA,NA,NA,1.07,NA,ND,ND,NA,NA
2,Ericales,Primulaceae,Myrsine,Myrsine gardneriana,A.DC.,Myrsine gardneriana,A.DC.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,ER,Zoochory,NA,NA,NA,0,95,95,NA,NA,NA,8.72,NA,D,NA,NA,NA
2,Proteales,Proteaceae,Roupala,Roupala montana,Aubl.,Roupala montana,Aubl.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Widespread,Xeric,NA,Anemochory,NA,NA,NA,98.8,0,98.8,NA,NA,NA,8.9,NA,ND,ND,NA,NA
2,Gentianales,Rubiaceae,Coccocypselum,Coccocypselum condalia,Pers.,Coccocypselum condalia,Pers.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Zoochory,NA,NA,NA,28.8,41.2,70,NA,NA,NA,0.5,NA,D,NA,NA,NA
2,Gentianales,Rubiaceae,Galium,Galium hypocarpium,(L.) Endl. ex Griseb.,Galium hypocarpium,(L.) Endl. ex Griseb.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Xeric,NA,Zoochory,NA,NA,NA,35,55,90,NA,NA,NA,0.85,NA,D,NA,NA,NA
2,Lamiales,Scrophulariaceae,Buddleja,Buddleja speciosissima,Taub.,Buddleja speciosissima,Taub.,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Shrub,Restricted,Xeric,NA,Autochory,NA,NA,NA,76.2,8.8,85,NA,NA,NA,0.3,NA,ND,ND,NA,NA
2,Pandanales,Velloziaceae,Barbacenia,Barbacenia gounelleana,Beauverd,Barbacenia gounelleana,Beauverd,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Restricted,Xeric,LD,Autochory,NA,NA,NA,7.5,77.5,85,NA,NA,NA,0.13,NA,D,NA,NA,NA
2,Canellales,Winteraceae,Drimys,Drimys brasiliensis,Miers,Drimys brasiliensis,Miers,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Tree,Widespread,Xeric,NA,Zoochory,NA,NA,NA,0,91.2,91.2,NA,NA,NA,3.69,NA,D,NA,NA,NA
2,Poales,Xyridaceae,Xyris,Xyris stenophylla,L.A.Nilsson,Xyris stenophylla,L.A.Nilsson,-22.35,-44.67,Parque Nacional do Itatiaia,Granite,Herb,Widespread,Mesic/Xeric,NA,Autochory,NA,NA,NA,88.7,2.5,91.2,NA,NA,NA,0.17,NA,ND,ND,NA,NA
3,Caryophyllales,Cactaceae,Discocactus,Discocactus placentiformis,(Lehm.) K.Schum.,Discocactus placentiformis,(Lehm.) K.Schum.,-22.35,-44.67,Parque Estadual do Rio Preto,Quartzite,Succulent,Restricted,Xeric,NA,Zoochory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,NA,NA,NA
3,Caryophyllales,Cactaceae,Discocactus,Discocactus pseudoinsignis,N.P.Taylor & Zappi,Discocactus pseudoinsignis,N.P.Taylor & Zappi,-22.35,-44.67,Parque Estadual do Rio Preto,Quartzite,Succulent,Restricted,Xeric,NA,Zoochory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NC,NA,NA,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta ajugifolia,Schauer,Stachytarpheta ajugifolia,Schauer,-20.20,-43.57,"Serra do Campanema, Ouro Preto, Minas Gerais",Ironstone,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,59.35,48.8,12.2,NA,3.11,12.1,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta cayennensis,(Rich) Vahl.,Stachytarpheta cayennensis,(Rich.) Vahl,-20.87,-43.80,"Fazenda Pedra do Sino, Carandaí, Minas Gerais",Quartzite,NA,Widespread,Mesic/Xeric,LR,Autochory,NA,NA,NA,NA,NA,78.82,37.6,8.2,NA,0.99,11.7,ND,ND,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta spathulata,Moldenke,Stachytarpheta chascanoides,(Moldenke) P.H.Cardoso,-18.20,-43.37,"Parque Estadual do Rio Preto, São Gonçalo do Rio Preto, Minas Gerais",Quartzite,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,27.53,40.3,9.3,NA,1.35,12.3,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta commutata,Schauer,Stachytarpheta commutata,Schauer,-20.42,-43.50,"Parque Estadual do Itacolomy, Ouro Preto, Minas Gerais",Quartzite,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,32.04,42.1,9.6,NA,1.63,14.9,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta confertifolia,Mold.,Stachytarpheta confertifolia,Moldenke,-20.45,-43.93,"Mineração CSN, Belo Vale",Ironstone,Herb,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,75.91,38.8,10.6,NA,2.24,12.5,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta discolor,Cham.,Stachytarpheta discolor,Cham.,-18.35,-43.55,"Estrada Diamantina-Milho Verde, Diamantina, Minas Gerais",Quartzite,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,27.96,50.3,10.6,NA,2.09,11.7,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta glabra,Cham.,Stachytarpheta glabra,Cham.,-20.06,-44.03,"Parque Estadual da Serra do Rola Moça, Nova Lima",Quartzite,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,15.91,51.9,11.8,NA,2.45,12.5,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta harleyi,Atkins,Stachytarpheta harleyi,S.Atkins,-17.70,-44.30,"Parque Estadual da Serra do Cabral, Joaquim Felício, Minas Gerais",Quartzite,Shrub,Restricted,Xeric,LD,Autochory,NA,NA,NA,NA,NA,6.67,44.2,9.8,NA,1.55,9.5,NC,NA,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta martiana,Schauer,Stachytarpheta martiana,Schauer,-16.58,-42.89,"P.E. de Grão Mogol, Grão Mogol",Quartzite,Shrub,Widespread,Xeric,LD,Autochory,NA,NA,NA,NA,NA,14.62,68.2,22.2,NA,11.4,10.9,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta mexiae,Mold.,Stachytarpheta mexiae,Moldenke,-18.16,-43.32,"Parque Estadual do Rio Preto, São Gonçalo do Rio Preto, Minas Gerais",Quartzite,Shrub,Widespread,Mesic/Xeric,NA,Autochory,NA,NA,NA,NA,NA,14.84,43,10.7,NA,1.7,14.9,D,PD,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta reticulata,Mart. ex Schauer,Stachytarpheta reticulata,Mart. ex Schauer,-18.11,-43.34,"Parque Estadual do Rio Preto, São Gonçalo do Rio Preto, Minas Gerais",Quartzite,Shrub,Widespread,Mesic/Xeric,LD,Autochory,NA,NA,NA,NA,NA,68.17,58.1,14.6,NA,2.95,11,ND,ND,Orthodox,NA
4,Lamiales,Verbenaceae,Stachytarpheta,Stachytarpheta sellowiana,Schauer,Stachytarpheta sellowiana,Schauer,-21.45,-44.66,"Serra de Carrancas, Carrancas, Minas Gerais",Quartzite,Shrub,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,66.45,42.8,14.9,NA,3.2,10.1,D,PD,Orthodox,NA
5,Poales,Eriocaulaceae,Syngonanthus,Syngonanthus verticillatus,(Bong.) Ruhland,Syngonanthus verticillatus,(Bong.) Ruhland,-19.51,-43.70,Serra do Cipó,Quartzite,Herb,Widespread,Xeric,ER,Anemochory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,NA,Species acquire secondary PD.
6,Pandanales,Velloziaceae,Barbacenia,Barbacenia flava,Mart. ex Schult. & Schult.f.,Barbacenia flava,Mart. ex Schult. & Schult.f.,-19.38,-43.54,Serra do Cipó,Quartzite,NA,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,2.11,NA,NA,1.21,NA,ND,ND,NA,Geographical coordinates represent the middle point in the range of coordinates presented.
6,Pandanales,Velloziaceae,Barbacenia,Barbacenia markgrafii,Schulze-Menz,Barbacenia markgrafii,Schulze-Menz,-18.14,-43.58,Parque Estadual de Biribiri,Quartzite,NA,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,1.16,NA,NA,0.18,NA,ND,ND,NA,Geographical coordinates represent the middle point in the range of coordinates presented.
6,Pandanales,Velloziaceae,Barbacenia,Barbacenia purpurea,Hook.,Barbacenia purpurea,Hook.,-22.95,-43.16,"Pedra da Urca, Rio de Janeiro, Rio de Janeiro",Granite,Herb,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,1.54,NA,NA,0.2,NA,ND,ND,NA,NA
6,Pandanales,Velloziaceae,Barbacenia,Barbacenia williamsii,L.B.Sm.,Barbacenia williamsii,L.B.Sm.,-19.96,-43.91,Serra do Curral,Ironstone,Herb,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,2.05,NA,NA,0.13,NA,ND,ND,NA,NA
6,Pandanales,Velloziaceae,Vellozia,Vellozia alata,L.B.Sm.,Vellozia alata,L.B.Sm.,-19.38,-44.53,Serra do Cipó,Quartzite,Shrub,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,2.62,NA,NA,3.76,NA,ND,ND,NA,Geographical coordinates represent the middle point in the range of coordinates presented.
6,Pandanales,Velloziaceae,Vellozia,Vellozia compacta,Mart. ex Schult. & Schult.f.,Vellozia compacta,Mart. ex Schult. & Schult.f.,-20.04,-44.01,Parque Estadual da Serra do Rola Moça,Ironstone,Shrub,Restricted,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,1.05,NA,NA,0.2,NA,ND,ND,NA,NA
6,Pandanales,Velloziaceae,Vellozia,Vellozia glochidea,Pohl,Vellozia glochidea,Pohl,-6.11,-50.30,Serra de Carajás,Ironstone,Shrub,Widespread,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,2.29,NA,NA,1.24,NA,ND,ND,NA,NA
6,Pandanales,Velloziaceae,Vellozia,Vellozia plicata,Mart.,Vellozia plicata,Mart.,-20.32,-40.34,"Vitória, Espírito Santo",Granite,Shrub,Widespread,Xeric,LR,Autochory,NA,NA,NA,NA,NA,NA,2.03,NA,NA,0.15,NA,ND,ND,NA,NA
7,Myrtales,Melastomataceae,Pleroma,Tibouchina heteromalla,(D.Don) Cogn.,Pleroma heteromallum,(D.Don) D.Don,-21.33,-44.98,"Parque Ecológico Quedas do Rio Bonito, Lavras, Minas Gerais",Quartzite,Shrub,Widespread,Xeric,NA,Autochory,760,NA,NA,NA,NA,NA,0.7,0.4,NA,NA,10,ND,ND,Orthodox,Geographical coordinates represent the middle point in the range of coordinates presented.
8,Poales,Eriocaulaceae,Comanthera,Comanthera mucugensis,(Giul.) L. R. Parra & Giul.,Comanthera mucugensis,(Giul.) L.R.Parra & Giul.,-13.66,-41.57,Parque Municipal de Mucugê,Quartzite,Herb,Restricted,Xeric,LD,Anemochory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,NA,NA
9,Rosales,Urticaceae,Cecropia,Cecropia pachystachya,Trécul,Cecropia pachystachya,Trécul,NA,NA,Reserva Particular Natural Vellozia,Quartzite,Tree,Widespread,Mesic,LD,Zoochory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,ND,ND,NA,NA
10,Caryophyllales,Cactaceae,Arthrocereus,Arthrocereus glaziovii,(K.Schum.) N.P.Taylor & Zappi,Arthrocereus glaziovii,(K.Schum.) N.P.Taylor & Zappi,-20.06,-44.01,Parque Estadual da Serra do Rola Moça,Quartzite,Succulent,Restricted,Xeric,LR,Zoochory,469.7,NA,NA,NA,NA,NA,1.44,NA,NA,0.47,23.7,ND,ND,NA,NA
10,Caryophyllales,Cactaceae,Arthrocereus,Arthrocereus melanurus subsp. magnus,N.P.Taylor & Zappi,Arthrocereus melanurus subsp. magnus,N.P.Taylor & Zappi,-21.71,-43.89,Parque Estadual do Ibitipoca,Quartzite,Succulent,Restricted,Xeric,LR,Zoochory,934.2,NA,NA,NA,NA,NA,1.7,NA,NA,0.65,14.1,ND,ND,NA,NA
10,Caryophyllales,Cactaceae,Arthrocereus,Arthrocereus melanurus subsp. melanurus,(Diers & P.J.Braun) P.J.Braun & Esteves,Arthrocereus melanurus subsp. melanurus,(Diers & P.J.Braun) P.J.Braun & Esteves,-21.84,-43.17,Área de Proteção Ambiental Serra de São José,Quartzite,Succulent,Restricted,Xeric,LR,Zoochory,937.8,NA,NA,NA,NA,NA,1.51,NA,NA,0.52,17.1,ND,ND,NA,NA
