Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_period
Xyris_bialata,Herb,Widespread,Mesic/Xeric,ED
Xyris_pterygoblephara,Herb,Widespread,Mesic/Xeric,ED
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,ER
Syngonanthus_anthemiflorus,Herb,Restricted,Xeric,ER
Syngonanthus_verticillatus,Herb,Widespread,Mesic/Xeric,ER
Xyris_aurea,Herb,Restricted,Mesic,LR
Xyris_bialata,Herb,Widespread,Mesic/Xeric,ED
Xyris_blanchetiana,Herb,Widespread,Mesic,ER
Xyris_coutensis,Herb,Restricted,Mesic,LD
Xyris_jolyi,Herb,Widespread,Mesic,LD
Xyris_laxifolia,Herb,Widespread,Mesic,ED
Xyris_pterygoblephara,Herb,Widespread,Mesic/Xeric,ED
Xyris_spinulosa,Herb,Widespread,Mesic,ED
Chamaecrista_cathartica,Shrub,Restricted,Xeric,LR
Chamaecrista_desvauxii,Herb,Widespread,Mesic/Xeric,ER
Chamaecrista_desvauxii,Herb,Widespread,Mesic/Xeric,LR
Chamaecrista_latifolia,Herb,Restricted,Mesic/Xeric,LD
Chamaecrista_desvauxii,Herb,Widespread,Mesic/Xeric,LR
Chamaecrista_mucronata,Herb,Widespread,Xeric,ER
Chamaecrista_cipoana,Shrub,Widespread,Xeric,LD
Chamaecrista_ochnacea,Herb,Widespread,Xeric,LR
Chamaecrista_ramosa,Shrub,Widespread,Xeric,LR
Chamaecrista_rotundifolia,Herb,Widespread,Xeric,LR
Chamaecrista_semaphora,Shrub,Restricted,Xeric,LD
Paepalanthus_chiquitensis,Herb,Widespread,Mesic/Xeric,LD
Lessingianthus_linearifolius,Shrub,Widespread,Xeric,LD
Richterago_arenaria,Herb,Restricted,Xeric,LR
Bulbostylis_emmerichiae,Herb,Widespread,Mesic,ER
Bulbostylis_paradoxa,Herb,Widespread,Mesic/Xeric,ER
Lagenocarpus_alboniger,Herb,Widespread,Xeric,ER
Lagenocarpus_rigidus,Herb,NA,Xeric,LD
Rhynchospora_ciliolata,Herb,Widespread,Xeric,LR
Rhynchospora_consanguinea,Herb,Widespread,Xeric,LR
Rhynchospora_riedeliana,Herb,Widespread,Xeric,ED
Aristida_torta,Herb,Widespread,Xeric,LD
Homolepis_longispicula,Herb,Widespread,Mesic/Xeric,LR
Paspalum_pectinatum,Herb,Widespread,Mesic/Xeric,LR
Vellozia_caruncularis,Herb,Restricted,Xeric,LR
Vellozia_epidendroides,Shrub,Restricted,Mesic/Xeric,LD
Vellozia_resinosa,Shrub,Restricted,Xeric,ER
Xyris_obtusiuscula,Herb,Restricted,Mesic/Xeric,ER
Xyris_pilosa,Herb,Restricted,Mesic,ER
Dyckia_excelsa,Herb,Restricted,Xeric,LD
Aechmea_nudicaulis,Herb,Widespread,Mesic/Xeric,LR
Dyckia_saxatilis,Herb,Restricted,Xeric,LR
Cryptanthus_schwackeanus,Herb,Restricted,Xeric,ED
Neoregelia_bahiana,Herb,Restricted,Xeric,ED
Tillandsia_stricta,Herb,Widespread,Mesic/Xeric,ED
Vriesea_crassa,Herb,Restricted,Xeric,ED
Vriesea_minarum,Herb,Widespread,Xeric,ED
Lychnophora_ericoides,Shrub,Restricted,Xeric,ER
Collaea_cipoensis,Shrub,Restricted,Mesic/Xeric,LD
Mimosa_foliolosa,Shrub,Widespread,Xeric,ED
Mimosa_maguirei,Shrub,Restricted,Xeric,ER
Lavoisiera_cordata,Shrub,Restricted,Xeric,LD
Microlicia_tetrasticha,Shrub,Restricted,Mesic/Xeric,LD
Comanthera_brasiliana,Herb,Restricted,Xeric,ER
Comanthera_suberosa,Herb,Restricted,Xeric,LD
Syngonanthus_nitens,Herb,Widespread,Mesic,ER
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,LD
Comanthera_elegantula,Herb,Restricted,Xeric,LD
Comanthera_aciphylla,Herb,Widespread,Xeric,LD
Comanthera_centauroides,Herb,Widespread,Xeric,ER
Syngonanthus_anthemiflorus,Herb,Restricted,Xeric,LD
Syngonanthus_caulescens,Herb,Widespread,Mesic,LD
Syngonanthus_gracilis,Herb,Restricted,Xeric,LD
Xyris_asperula,Herb,Restricted,Mesic/Xeric,LD
Xyris_subsetigera,Herb,Widespread,Mesic/Xeric,LD
Xyris_pilosa,Herb,Restricted,Mesic,LD
Xyris_seubertii,Herb,Widespread,Mesic/Xeric,LD
Alcantarea_imperialis,Herb,Restricted,Xeric,ER
Pitcairnia_flammea,Herb,Widespread,Xeric,LD
Bauhinia_pulchella,Shrub,Widespread,Mesic/Xeric,LR
Mimosa_acutistipula,Shrub,Widespread,Xeric,LR
Mimosa_camporum,Herb,Widespread,Mesic/Xeric,LR
Mimosa_pudica,Shrub,Widespread,Mesic,LR
Kielmeyera_regalis,Shrub,Widespread,Xeric,LD
Paliavana_sericiflora,Shrub,Restricted,Xeric,LD
Sinningia_allagophylla,Herb,Widespread,Mesic/Xeric,LR
Sinningia_rupicola,Herb,Widespread,Xeric,LR
Chaetostoma_armatum,Shrub,Widespread,Xeric,ED
Trembleya_laniflora,Shrub,Restricted,Xeric,LD
Paepalanthus_chiquitensis,Herb,Widespread,Mesic/Xeric,LD
Comanthera_elegans,Herb,Restricted,Mesic/Xeric,LR
Comanthera_nivea,Herb,Restricted,Mesic/Xeric,ED
Marcetia_taxifolia,Shrub,Widespread,Xeric,ED
Calliandra_fasciculata,Shrub,Widespread,Mesic,ED
Diplusodon_hirsutus,Shrub,Widespread,Xeric,LD
Diplusodon_orbicularis,Shrub,Restricted,Mesic,ED
Cambessedesia_hilariana,Shrub,Widespread,Xeric,LD
Fritzschia_sertularia,Shrub,Widespread,Xeric,ED
Leandra_coriacea,Shrub,Restricted,Xeric,ER
Miconia_alborufescens,Shrub,Widespread,Xeric,ER
Miconia_chamissois,Shrub,Widespread,Mesic,LD
Miconia_cipoensis,Shrub,Restricted,Xeric,ER
Miconia_corallina,Shrub,Widespread,Xeric,ED
Tibouchina_cardinalis,Shrub,Widespread,Xeric,ED
Miconia_ligustroides,Shrub,Widespread,Mesic/Xeric,ED
Miconia_pepericarpa,Shrub,Widespread,Xeric,ED
Vellozia_aloifolia,Shrub,Restricted,Xeric,ER
Vellozia_ciliata,Herb,Restricted,Xeric,ER
Vellozia_glauca,Shrub,Widespread,Xeric,ER
Vellozia_hatschbachii,Shrub,Restricted,Xeric,ER
Vellozia_hirsuta,Shrub,Restricted,Xeric,LD
Vellozia_maxillarioides,Shrub,Restricted,Xeric,LD
Vellozia_minima,Herb,Restricted,Mesic/Xeric,ED
Vellozia_pusilla,Herb,Restricted,Xeric,ED
Vellozia_resinosa,Shrub,Restricted,Xeric,LD
Vellozia_seubertiana,Shrub,Widespread,Xeric,LD
Vellozia_spiralis,Shrub,Restricted,Xeric,LD
Vellozia_stenocarpa,Shrub,Restricted,Mesic/Xeric,LD
Dyckia_sordida,Herb,Restricted,Xeric,ED
Dyckia_ursina,Herb,Restricted,Xeric,ED
Encholirium_heloisae,Herb,Restricted,Xeric,ED
Encholirium_magalhaesii,Herb,Restricted,Xeric,ED
Encholirium_pedicellatum,Herb,Restricted,Xeric,ED
Encholirium_reflexum,Herb,Restricted,Xeric,ED
Encholirium_scrutor,Herb,Restricted,Xeric,ED
Encholirium_subsecundum,Herb,Restricted,Xeric,ED
Vellozia_albiflora,Herb,Restricted,Xeric,LR
Vellozia_intermedia,Herb,Restricted,Xeric,LR
Vellozia_lilacina,Shrub,Restricted,Xeric,LR
Vellozia_glochidea,Shrub,Widespread,Xeric,ED
Vellozia_goiasensis,Shrub,Widespread,Xeric,LD
Vellozia_squamata,Shrub,Widespread,Mesic/Xeric,ED
Vellozia_alutacea,Shrub,Widespread,Xeric,ED
Mimosa_foliolosa,Shrub,Widespread,Xeric,ER
Fritzschia_sertularia,Shrub,Widespread,Xeric,ER
Tibouchina_cardinalis,Shrub,Widespread,Xeric,LR
Cambessedesia_regnelliana,Shrub,Widespread,Xeric,LD
Collaea_cipoensis,Shrub,Restricted,Mesic/Xeric,LR
Luxemburgia_ciliatibracteata,Shrub,Restricted,Xeric,LR
Eragrostis_polytricha,Herb,Widespread,Mesic,ED
Tibouchina_cardinalis,Shrub,Widespread,Xeric,ER
