Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Mass
Vellozia_glochidea,Shrub,Widespread,Xeric,1.24
Vellozia_hatschbachii,Shrub,Restricted,Xeric,0.52
Vellozia_hirsuta,Shrub,Restricted,Xeric,0.89
Vellozia_intermedia,Herb,Restricted,Xeric,0.29
Vellozia_lilacina,Shrub,Restricted,Xeric,0.61
Vellozia_maxillarioides,Shrub,Restricted,Xeric,0.04
Vellozia_minima,Herb,Restricted,Mesic/Xeric,0.04
Vellozia_nivea,Shrub,Restricted,Xeric,0.18
Vellozia_pusilla,Herb,Restricted,Xeric,0.43
Vellozia_resinosa,Shrub,Restricted,Xeric,0.56
Vellozia_seubertiana,Shrub,Widespread,Xeric,0.27
Vellozia_spiralis,Shrub,Restricted,Xeric,0.17
Vellozia_stenocarpa,Shrub,Restricted,Mesic/Xeric,0.39
Verbesina_glabrata,Shrub,Widespread,Xeric,0.76
Vriesea_bituminosa,Herb,Widespread,Xeric,0.98
Vriesea_itatiaiae,Herb,Widespread,Xeric,0.99
Xyris_asperula,Herb,Restricted,Mesic/Xeric,0.0125
Xyris_aurea,Herb,Restricted,Mesic,0.115
Xyris_bialata,Herb,Widespread,Mesic/Xeric,0.045
Xyris_blanchetiana,Herb,Widespread,Mesic,0.016
Xyris_brachysepala,Herb,Restricted,Mesic,0.03125
Xyris_cipoensis,Herb,Restricted,Mesic,0.01
Xyris_coutensis,Herb,Restricted,Mesic,0.158
Xyris_jolyi,Herb,Widespread,Mesic,0.012
Xyris_laxifolia,Herb,Widespread,Mesic,0.02
Xyris_longiscapa,Herb,Restricted,Mesic,0.0019
Xyris_platystachya,Herb,Widespread,Mesic,0.0075
Xyris_pterygoblephara,Herb,Widespread,Mesic/Xeric,0.015
Xyris_spinulosa,Herb,Widespread,Mesic,0.028
Xyris_stenophylla,Herb,Widespread,Mesic/Xeric,0.17
Xyris_subsetigera,Herb,Widespread,Mesic/Xeric,0.0094
Xyris_trachyphylla,Herb,Widespread,Mesic,0.0143
