Species_acceptedLCVP,Growth_form,Distribution,Microhabitat,Dispersal_syndrome
Encholirium_subsecundum,Herb,Restricted,Xeric,Anemochory
Vellozia_albiflora,Herb,Restricted,Xeric,Autochory
Vellozia_glabra,Shrub,Restricted,Xeric,Autochory
Vellozia_intermedia,Herb,Restricted,Xeric,Autochory
Vellozia_lilacina,Shrub,Restricted,Xeric,Autochory
Vellozia_nivea,Shrub,Restricted,Xeric,Autochory
Pitcairnia_albiflos,Herb,Restricted,Xeric,Anemochory
Pitcairnia_staminea,Herb,Restricted,Xeric,Anemochory
Cavalcantia_glomerata,Herb,Widespread,Xeric,Anemochory
Cavalcantia_percymosa,Herb,Widespread,Mesic,Anemochory
Lepidaploa_arenaria,Shrub,Widespread,Xeric,Anemochory
Lepidaploa_paraensis,Shrub,Widespread,Mesic/Xeric,Anemochory
Monogereion_carajensis,Herb,Widespread,Xeric,Anemochory
Parapiqueria_cavalcantei,Herb,Widespread,Mesic/Xeric,Autochory
Praxelis_asperulacea,Herb,Widespread,Mesic/Xeric,Zoochory
Anemopaegma_paraense,Shrub,Restricted,Xeric,Anemochory
Dyckia_duckei,Herb,Restricted,Xeric,Anemochory
Bulbostylis_cangae,Herb,Restricted,Xeric,Autochory
Bulbostylis_conifera,Herb,Widespread,Xeric,Autochory
Hypolytrum_paraense,Herb,Widespread,Mesic,Autochory
Paepalanthus_fasciculoides,Herb,Widespread,Xeric,Anemochory
Mimosa_dasilvae,Shrub,Restricted,Mesic,Autochory
Mimosa_skinneri,Herb,Restricted,Mesic,Autochory
Calolisianthus_purpurascens,Herb,Widespread,Mesic,Autochory
Utricularia_neottioides,Herb,Widespread,Mesic,Autochory
Utricularia_physoceras,Herb,Restricted,Mesic/Xeric,Autochory
Utricularia_subulata,Herb,Widespread,Mesic,Autochory
Brasilianthus_carajensis,Herb,Restricted,Mesic/Xeric,Autochory
Tibouchina_riedeliana,Shrub,Widespread,Xeric,Anemochory
Tibouchina_edmundoi,Shrub,Widespread,Xeric,Autochory
Sauvagesia_tenella,Herb,Widespread,Mesic/Xeric,Autochory
Epidendrum_nocturnum,Herb,Widespread,Mesic/Xeric,Anemochory
Sobralia_liliastrum,Herb,Widespread,Xeric,Anemochory
Buchnera_carajasensis,Herb,Widespread,Mesic,Autochory
Axonopus_siccus,Herb,Widespread,Xeric,Autochory
Axonopus_longispicus,Herb,Widespread,Mesic,Autochory
Paspalum_canarae,Herb,Restricted,Mesic,Anemochory
Paspalum_cinerascens,Herb,Widespread,Mesic,Anemochory
Sporobolus_multiramosus,Herb,Widespread,Xeric,Autochory
Trachypogon_spicatus,Herb,Widespread,Mesic/Xeric,Zoochory
Spermacoce_carajasensis,Shrub,Restricted,Mesic/Xeric,Autochory
Spermacoce_elaiosulcata,Shrub,Restricted,Mesic/Xeric,Autochory
Carajasia_cangae,Herb,Restricted,Xeric,Autochory
Mitracarpus_carajasensis,Herb,Restricted,Xeric,Autochory
Pilocarpus_microphyllus,Shrub,Widespread,Xeric,Autochory
Xyris_brachysepala,Herb,Restricted,Mesic,Autochory
Vellozia_goiasensis,Shrub,Widespread,Xeric,Autochory
Vellozia_squamata,Shrub,Widespread,Mesic/Xeric,Autochory
Cambessedesia_regnelliana,Shrub,Widespread,Xeric,Autochory
Microlicia_inquinans,Shrub,Restricted,Xeric,Autochory
Svitramia_hatschbachii,Shrub,Restricted,Xeric,Autochory
Pavonia_viscosa,Shrub,Restricted,Xeric,Zoochory
Eragrostis_polytricha,Herb,Widespread,Mesic,Autochory
Cattleya_crispata,Herb,Restricted,Xeric,Anemochory
Paspalum_pectinatum,Herb,Widespread,Mesic/Xeric,Anemochory
Bulbostylis_paradoxa,Herb,Widespread,Mesic/Xeric,Autochory
Bulbostylis_emmerichiae,Herb,Widespread,Mesic,Autochory
